COUNTY_NAM,ID,s_q1_q,s_q2_q,s_q3_q,s_q4_q,o_q1_q,o_q2_q,o_q3_q,o_q4_q,e_q1_q,e_q2_q,e_q3_q,e_q4_q,punin_10,reimb_mdc,mort_30d_h,adjmort_ha,adjmort_hf,adjmort_pn,med_pre_z,p_cr_v_10,db_ht_10,db_eye_10,db_lip_10,mammo_10,a_d_pK_10,POP2000,POP2010,pop_den00,pop_den10,seg_inc,seg_inc_25,seg_inc_75,race_seg00,gini99,poor_sh,inc_sh_1p,frac_micl,scap_indx,rel_tot,cs_frac_bl,cs_frac_hi,unemp_rt,lf_d_20_80,cs_labfor,cs_e_i_man,cs_brn_for,mig_inflo,mig_outflo,frac_tt_15,hhinc00,med_ho_val,ccd_ex_tot,ccd_p_t_ra,score_r,dropout_r,cs_educ_ba,tuition,gradrat_r,e_rank_b,cs_fam_wks,subcty_exp,taxrate
Adams,55001,4,5,2,2,5,4,5,5,2,1,5,3,3,4,5,3,4,5,3,4,3,2,3,2,5,2,2,2,2,3,3,3,1,4,4,1,1,1,1,3,4,4,5,1,2,4,5,4,1,3,2,2,3,1,3,1,6,6,1,4,1,5
Ashland,55003,5,2,2,2,2,1,3,4,4,4,5,3,4,2,3,4,2,4,3,4,2,5,1,1,2,1,1,1,1,3,3,2,5,2,5,1,3,5,4,2,3,5,2,2,2,2,1,1,5,1,1,4,4,5,6,3,5,5,1,5,4,3
Barron,55005,3,1,2,3,4,5,1,3,1,2,4,1,4,4,4,1,5,5,2,1,5,3,3,2,4,4,3,3,3,1,2,1,2,5,3,5,3,5,3,1,3,3,4,3,4,2,2,2,5,2,2,2,3,4,6,3,6,6,2,4,4,3
Bayfield,55007,2,3,1,3,3,4,5,1,4,5,3,5,5,2,3,5,1,2,3,3,1,5,3,4,4,1,1,1,1,2,2,2,5,5,5,5,2,4,1,1,1,5,3,1,1,2,1,1,3,1,3,4,5,4,2,5,6,6,1,4,4,5
Brown,55009,4,4,3,3,1,2,2,2,4,4,3,3,3,5,1,1,3,1,4,4,2,5,3,4,1,5,5,5,5,5,5,5,5,4,2,5,1,3,5,5,5,2,5,5,3,5,3,3,3,5,5,1,4,2,4,5,4,3,2,5,4,3
Buffalo,55011,4,3,1,4,5,5,2,5,1,2,4,1,3,3,2,1,2,4,2,1,2,4,2,3,3,1,1,1,1,2,2,1,2,1,2,1,5,3,5,1,1,2,1,4,3,1,3,2,1,3,2,3,2,3,6,2,6,6,5,1,3,2
Burnett,55013,4,1,3,4,5,3,4,2,3,4,5,1,5,1,5,4,4,5,1,2,1,2,1,1,5,1,1,1,1,1,1,1,4,3,3,1,2,4,1,4,2,4,5,1,2,2,4,2,2,3,3,5,3,1,4,2,6,6,1,5,2,5
Calumet,55015,5,5,1,2,5,4,4,5,4,4,4,5,1,2,3,2,4,4,3,1,1,3,3,5,1,3,4,4,4,4,4,4,4,1,1,3,5,3,2,3,3,2,5,5,5,4,5,5,3,5,5,1,2,5,6,4,6,6,5,1,1,1
Chippewa,55017,5,3,5,4,5,3,3,1,3,3,4,2,2,5,1,1,3,1,3,1,4,3,5,5,4,4,4,3,3,4,4,3,4,3,3,2,4,2,2,2,1,4,2,3,3,1,4,4,2,2,3,3,4,4,4,3,6,6,4,3,1,1
Clark,55019,2,2,1,1,2,4,4,5,5,4,5,5,5,4,1,4,1,1,3,3,4,5,2,1,5,3,3,2,2,1,1,1,2,4,5,5,5,2,4,1,3,5,1,3,3,2,2,3,4,1,1,3,2,5,6,1,6,6,5,1,4,1
Columbia,55021,3,5,5,1,1,1,3,5,1,3,1,1,1,1,4,3,4,5,3,3,3,1,2,2,3,4,4,4,4,3,3,4,4,2,1,4,3,1,4,4,4,2,4,4,3,3,5,5,1,5,5,2,3,1,3,3,6,6,3,2,5,4
Crawford,55023,1,4,1,1,2,4,1,5,5,1,2,5,4,2,4,5,4,1,2,5,3,2,1,1,4,2,1,2,2,2,2,2,4,4,4,3,2,1,3,5,2,4,1,2,3,1,1,2,5,1,1,3,1,2,6,2,6,6,3,4,1,2
Dane,55025,2,3,2,2,1,1,2,1,5,5,4,5,1,1,1,1,3,1,5,5,4,5,3,4,2,5,5,5,5,5,5,5,5,5,4,5,1,5,2,5,5,1,4,5,1,5,4,5,1,5,5,5,1,2,6,5,3,3,1,5,5,5
Dodge,55027,2,3,3,4,2,4,5,4,2,4,2,5,1,2,2,3,3,1,4,5,4,4,3,3,3,4,4,4,4,4,4,4,5,1,1,2,5,3,3,5,5,3,2,2,5,3,4,5,3,3,4,4,2,4,2,2,6,6,4,2,1,1
Door,55029,1,1,1,3,3,2,1,2,3,2,2,2,3,2,2,2,1,3,5,5,5,3,5,5,2,2,2,3,3,3,2,3,1,5,1,5,3,4,5,2,3,3,2,2,2,3,1,1,5,5,5,4,1,5,6,4,6,6,4,3,5,5
Douglas,55031,3,5,3,5,5,4,1,3,2,3,5,2,3,5,2,2,2,3,1,1,1,1,2,3,4,3,3,2,2,5,5,4,3,3,5,2,2,4,2,4,1,3,1,2,1,3,2,1,3,1,1,2,5,1,6,4,2,1,1,5,3,1
Dunn,55033,3,1,3,3,1,3,5,3,3,2,1,5,2,4,2,2,3,3,1,1,4,5,2,4,3,3,3,3,3,4,4,3,3,2,5,2,4,3,2,4,2,2,5,4,2,4,4,4,2,1,3,2,5,5,3,4,3,4,4,2,2,3
Eau Claire,55035,3,3,2,2,2,3,2,1,5,3,3,5,1,3,1,1,1,4,5,4,5,4,5,5,1,4,4,5,5,5,5,5,3,5,5,3,2,4,2,4,3,1,4,4,1,4,4,5,5,2,4,4,3,4,1,5,2,5,2,5,3,4
Florence,55037,6,6,6,6,6,6,6,6,6,6,6,6,5,1,2,5,1,2,4,2,1,3,1,5,1,1,1,1,1,1,1,1,1,2,4,1,3,1,1,2,1,3,5,1,3,1,2,2,2,3,2,1,5,5,1,1,6,6,5,2,3,5
Fond du Lac,55039,1,4,3,3,3,3,3,2,2,4,4,2,2,1,4,3,5,2,4,3,3,4,4,4,2,5,5,4,4,4,5,4,4,2,1,4,4,4,4,4,4,2,2,4,4,4,3,2,4,4,4,1,5,3,3,3,5,3,3,3,1,3
Forest,55041,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,4,4,2,2,5,1,2,2,4,1,1,1,1,1,1,1,3,4,5,2,2,3,1,5,3,5,3,1,1,2,1,1,5,1,2,3,4,1,6,1,6,6,3,5,5,5
Grant,55043,5,3,4,1,4,5,1,1,3,4,1,3,4,1,4,4,5,2,3,2,4,3,2,2,2,4,4,3,3,2,2,2,4,2,5,1,3,2,5,4,1,2,1,3,2,1,2,3,4,1,2,4,1,5,1,4,1,4,5,3,4,1
Green,55045,1,1,2,1,5,4,2,2,1,4,2,5,2,3,1,1,2,3,4,4,4,3,5,2,4,3,3,3,4,3,4,3,1,4,1,5,4,3,1,3,3,2,2,5,3,3,4,3,4,5,4,5,2,4,6,3,6,6,3,2,3,2
Green Lake,55047,2,5,2,5,1,2,5,1,2,5,4,5,3,2,5,5,5,1,1,1,2,4,1,2,2,2,2,3,3,2,1,2,3,3,2,3,5,1,5,2,5,4,2,3,4,3,4,4,3,4,3,5,3,2,6,3,6,6,5,1,2,4
Iowa,55049,5,1,1,3,1,5,5,3,4,5,3,3,2,2,1,1,1,4,1,2,1,3,1,1,4,2,2,2,2,2,2,2,1,1,2,2,5,2,2,2,1,1,4,5,1,1,5,5,2,4,3,5,1,5,6,4,6,6,5,1,3,4
Iron,55051,6,6,6,6,6,6,6,6,6,6,6,6,5,1,4,4,1,5,1,1,3,1,4,1,1,1,1,1,1,2,2,3,1,3,5,1,3,5,1,1,1,5,2,1,1,3,1,1,4,2,1,5,1,5,6,2,6,6,2,4,4,5
Jackson,55053,5,2,2,5,4,3,3,4,1,1,4,1,4,1,5,5,2,5,1,3,2,2,1,1,3,2,2,1,1,1,1,1,5,1,4,1,5,1,1,5,4,5,3,2,1,4,2,2,3,1,2,5,2,1,3,1,6,6,2,4,4,2
Jefferson,55055,4,4,3,1,4,4,3,4,4,1,2,2,2,2,4,5,2,3,4,4,3,3,4,2,1,4,4,4,4,3,3,4,3,1,1,2,4,2,5,3,5,2,3,5,5,5,5,5,3,4,5,4,1,2,3,4,4,4,3,3,3,2
Juneau,55057,1,1,1,3,3,5,2,4,1,2,1,4,5,1,4,5,4,4,2,3,3,1,1,2,5,2,2,2,2,1,1,1,3,4,4,2,4,1,2,3,4,5,4,2,4,3,4,5,2,3,1,2,1,1,5,1,6,6,4,4,2,3
Kenosha,55059,5,5,5,4,4,4,3,3,2,3,2,4,3,5,3,3,2,5,2,4,1,1,3,3,5,5,5,5,5,5,5,5,4,3,3,2,1,1,1,5,5,4,3,3,4,5,5,4,1,5,5,2,5,1,4,4,4,1,1,5,3,4
Kewaunee,55061,1,1,4,1,5,5,5,5,5,5,2,1,2,1,1,1,3,2,5,5,3,2,4,5,1,2,2,4,3,2,2,2,1,1,1,1,4,2,5,1,2,1,2,4,5,1,3,3,2,3,3,1,5,4,1,1,6,6,5,1,4,1
La Crosse,55063,5,4,3,5,1,3,1,1,4,5,4,5,1,1,5,4,4,4,5,3,5,4,4,5,1,5,5,5,5,5,5,5,4,5,4,4,1,5,3,5,3,1,3,4,1,4,3,3,4,3,4,4,2,3,2,5,3,5,1,5,3,5
Lafayette,55065,1,2,1,1,5,5,2,5,1,2,1,1,5,4,1,1,2,2,1,4,1,3,1,1,5,1,2,2,2,1,2,1,3,2,3,2,5,3,5,1,1,1,1,4,2,1,3,4,2,1,1,5,1,5,6,2,6,6,5,1,5,5
Langlade,55067,2,5,2,1,4,5,2,4,5,3,3,1,4,3,3,3,2,4,1,1,3,2,5,2,5,2,2,1,1,3,3,3,2,5,4,4,3,5,4,1,2,5,2,2,2,2,1,1,5,2,1,3,3,2,1,1,6,6,4,4,2,3
Lincoln,55069,4,5,1,5,4,1,5,5,5,1,5,2,1,5,2,1,3,4,4,4,4,4,3,4,5,3,2,2,2,3,4,3,3,1,2,1,5,1,4,4,2,3,3,2,5,3,1,1,4,2,3,2,5,4,2,2,6,6,4,3,2,2
Manitowoc,55071,3,3,4,4,3,4,3,3,5,2,2,5,1,3,3,3,4,2,4,3,3,3,4,5,2,4,4,4,4,4,4,5,4,1,1,3,5,4,5,3,4,3,1,4,5,4,1,1,5,4,3,1,5,3,4,3,3,2,2,3,2,1
Marathon,55073,2,4,4,2,2,2,2,2,5,3,5,4,2,3,1,2,3,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,2,4,3,4,4,3,2,2,3,5,4,5,2,1,3,4,3,2,4,2,2,4,1,2,4,2,1,2
Marinette,55075,5,5,5,5,2,2,4,5,4,2,1,5,3,4,1,1,2,2,3,2,2,1,3,4,4,3,3,2,2,3,3,4,2,2,3,1,4,4,3,2,2,5,3,1,5,3,3,2,5,2,1,2,3,5,1,1,6,5,2,3,3,4
Marquette,55077,4,2,5,4,5,5,5,5,1,1,1,4,3,2,5,5,5,1,1,1,4,1,2,2,1,1,1,2,2,1,1,2,5,3,3,2,4,1,1,5,5,5,4,1,4,3,5,4,1,1,3,1,3,2,3,1,6,6,2,3,1,4
Menominee,55078,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,5,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,2,4,1,5,5,5,1,1,5,1,4,3,1,1,5,1,1,5,1,3,1,1,5,5,2
Milwaukee,55079,4,5,4,5,4,3,3,2,2,1,2,3,5,5,2,2,1,3,3,4,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,1,2,1,5,5,4,1,2,2,5,2,4,1,4,4,4,5,1,5,5,4,2,1,5,5,4
Monroe,55081,4,2,1,2,2,1,2,4,3,1,1,1,5,1,4,3,5,3,2,3,2,1,2,2,4,3,3,3,3,2,3,2,3,4,5,5,5,1,3,4,4,3,3,3,2,3,2,2,4,1,2,1,2,1,1,2,6,6,3,4,1,1
Oconto,55083,1,3,5,4,1,5,2,2,4,5,1,2,3,5,1,2,1,2,1,1,2,1,3,3,4,3,3,3,3,4,4,5,1,3,2,3,4,3,2,1,1,4,5,3,5,1,5,4,1,3,3,4,4,4,6,1,6,6,2,2,1,1
Oneida,55085,5,4,5,2,4,2,5,3,1,4,5,3,3,3,3,2,3,2,4,5,3,4,2,5,2,3,3,2,2,3,3,3,3,5,2,4,3,5,4,3,1,4,3,1,1,2,3,3,5,4,4,3,4,2,5,4,1,1,1,4,4,5
Outagamie,55087,2,4,3,2,3,2,2,3,4,5,4,4,1,1,3,4,3,3,5,5,4,4,5,4,1,5,5,5,5,4,4,4,4,1,1,4,2,4,5,4,4,2,4,5,4,5,5,5,3,5,4,2,5,3,2,5,4,4,4,2,3,3
Ozaukee,55089,1,2,2,2,1,1,1,1,5,3,5,3,1,3,4,1,5,3,5,5,3,4,4,5,1,4,4,5,5,5,4,5,2,3,1,5,1,5,4,5,4,1,3,5,3,5,4,5,1,5,5,3,4,1,5,5,5,2,4,1,2,2
Pepin,55091,6,6,6,6,6,6,6,6,6,6,6,6,4,4,1,4,1,1,1,1,1,2,1,4,5,1,1,2,2,1,1,1,1,2,4,2,5,4,4,1,1,2,1,3,2,1,2,3,2,3,2,5,2,3,1,2,6,6,5,1,5,4
Pierce,55093,5,3,5,4,1,1,1,4,1,5,5,3,1,2,5,4,5,5,4,2,5,3,5,3,4,3,3,4,4,4,3,3,2,1,3,1,1,3,3,3,2,1,5,5,2,2,5,5,1,2,5,4,3,5,6,5,2,4,5,2,4,4
Polk,55095,1,1,3,4,1,1,4,4,5,4,4,1,3,5,3,1,4,4,1,1,1,2,1,1,5,3,3,3,3,3,3,4,2,2,2,2,3,5,2,2,2,4,5,3,4,1,4,3,1,4,4,5,4,4,6,3,6,6,3,3,4,3
Portage,55097,4,3,1,2,1,3,3,1,4,5,2,3,2,3,2,4,2,1,5,5,4,4,3,5,2,4,4,4,4,5,5,4,3,2,4,3,2,3,4,3,4,2,4,5,2,4,2,2,4,2,4,4,4,4,3,5,2,5,3,2,1,3
Price,55099,1,2,5,3,2,4,5,3,2,1,1,4,2,3,5,5,4,5,4,2,4,5,5,3,5,1,1,1,1,2,2,2,1,1,3,1,5,3,3,1,1,4,2,2,5,1,1,1,5,3,1,1,2,4,6,2,6,6,2,1,5,2
Racine,55101,5,5,5,5,3,3,2,2,2,3,2,4,2,5,4,2,2,5,3,4,3,1,4,4,3,5,5,5,5,5,5,5,5,5,3,5,1,4,3,5,5,5,1,3,4,5,3,3,2,5,5,1,4,1,5,4,6,6,1,5,2,2
Richland,55103,1,1,2,5,2,5,5,4,4,2,3,2,4,4,2,5,1,1,1,3,2,2,1,1,5,2,2,2,2,4,4,3,1,5,4,5,3,2,1,2,3,2,1,3,4,2,2,3,2,2,1,5,1,3,6,2,6,6,3,4,2,1
Rock,55105,4,4,4,5,3,2,1,3,3,2,2,2,4,3,4,3,4,4,2,3,2,2,2,1,3,5,5,5,5,5,5,5,5,4,2,4,1,2,2,5,5,4,1,4,5,5,3,2,3,5,4,3,2,1,5,3,5,4,1,5,3,1
Rusk,55107,3,1,3,1,4,2,4,5,3,1,1,3,4,5,1,1,1,3,3,3,5,1,5,4,5,1,1,1,1,1,1,1,2,5,5,5,2,2,1,4,2,5,1,1,5,3,1,1,4,1,1,5,2,2,6,1,5,6,4,2,5,2
Sauk,55111,1,3,4,1,4,5,5,1,1,3,5,3,3,1,2,2,3,1,2,3,1,2,1,1,3,4,4,4,4,2,2,2,3,5,2,5,2,2,3,3,4,1,4,5,2,4,4,4,4,4,4,2,2,2,5,4,6,6,2,4,4,4
Sawyer,55113,4,4,3,1,4,1,2,5,3,5,4,2,5,3,5,4,5,5,2,4,1,1,1,3,3,1,1,1,1,2,2,2,5,5,5,3,1,5,3,3,3,5,5,1,1,3,1,1,5,2,3,3,1,3,4,3,1,5,1,5,2,5
Shawano,55115,3,1,5,5,5,2,4,2,1,1,1,1,5,4,3,3,5,2,4,2,5,3,3,3,2,3,3,3,3,3,3,3,5,3,3,3,4,1,5,2,3,3,3,2,3,2,3,4,2,3,2,1,3,3,6,1,6,6,4,3,2,1
Sheboygan,55117,3,5,5,5,3,3,1,2,4,2,5,3,2,2,5,5,5,5,5,5,5,4,4,3,1,5,5,5,5,5,5,5,5,2,1,4,4,5,4,5,5,1,2,4,5,5,1,1,5,5,4,2,4,4,5,4,5,1,3,2,5,3
St Croix,55109,2,2,4,4,4,4,4,1,2,5,3,3,1,5,3,2,4,3,3,2,3,4,5,2,3,4,4,4,4,4,3,4,1,1,1,3,1,2,3,3,2,1,5,5,3,2,5,5,1,5,5,3,5,3,2,5,6,6,5,1,3,1
Taylor,55119,1,2,4,4,5,1,4,4,3,1,3,4,4,5,2,3,1,2,2,1,5,5,5,3,5,2,2,1,1,2,2,2,2,2,4,3,5,1,5,1,1,3,2,3,5,1,1,1,4,2,1,1,4,5,6,1,6,6,5,1,1,1
Trempealeau,55121,2,1,1,1,5,5,1,5,1,1,3,2,3,4,4,3,3,5,3,2,4,3,4,3,3,2,3,3,3,1,1,1,2,3,3,4,5,4,5,1,2,3,2,4,4,1,4,3,3,2,2,3,1,5,6,2,6,6,5,3,5,3
Vernon,55123,4,4,5,3,2,5,4,1,2,2,2,1,5,1,5,5,4,2,2,2,1,2,2,1,1,3,3,3,3,3,3,3,1,4,5,4,4,3,3,1,1,3,1,2,1,1,2,2,2,1,1,4,1,3,1,2,6,6,4,1,2,2
Vilas,55125,3,2,2,1,1,1,1,3,1,5,1,2,5,2,2,2,5,1,5,5,2,5,4,4,2,2,2,2,2,1,1,1,5,5,3,3,2,5,2,2,2,4,5,1,1,4,3,2,5,4,5,5,1,2,6,4,6,6,1,5,1,5
Walworth,55127,2,5,5,4,2,2,3,1,5,4,1,4,4,4,3,4,1,3,2,4,1,1,3,1,2,5,5,5,5,4,4,4,4,4,3,4,2,1,1,4,5,1,5,4,4,5,5,4,2,4,5,3,3,2,4,5,2,3,2,3,5,5
Washburn,55129,5,1,1,5,3,1,4,3,2,2,5,1,4,5,5,4,5,3,4,3,2,5,2,4,4,1,1,1,1,1,1,1,1,4,4,2,2,5,1,2,3,5,4,1,1,2,3,2,3,2,2,4,2,3,2,3,1,2,2,3,5,5
Washington,55131,3,2,4,3,2,1,4,3,5,5,3,2,1,4,2,3,2,2,5,5,5,5,4,5,2,5,5,5,5,4,4,4,2,1,1,3,1,3,3,4,4,1,5,5,5,4,5,5,1,5,5,3,5,5,4,5,6,6,5,1,2,3
Waukesha,55133,2,4,3,2,1,1,1,2,3,4,3,4,1,5,1,2,2,1,5,4,4,5,4,5,2,5,5,5,5,5,5,5,4,1,1,5,1,4,4,4,5,1,4,5,3,5,5,5,1,5,5,5,3,2,4,5,4,2,3,1,3,4
Waupaca,55135,5,5,4,3,3,2,5,4,5,1,1,5,2,3,5,5,5,5,4,2,2,5,5,3,3,4,4,4,4,3,3,3,2,2,2,4,4,2,5,2,4,3,4,2,5,2,3,3,4,3,3,1,4,4,6,3,6,6,4,2,4,3
Waushara,55137,3,2,4,2,5,3,4,4,3,3,3,1,5,3,5,5,5,4,1,1,5,2,4,3,3,2,2,3,3,2,1,2,3,4,4,1,3,1,2,2,5,4,4,1,3,4,4,4,1,3,2,1,5,1,6,1,6,6,3,2,1,4
Winnebago,55139,3,4,4,3,3,2,2,1,2,3,4,4,2,4,3,2,3,4,5,5,5,4,5,4,1,5,5,5,5,5,5,5,4,3,2,4,2,5,2,5,4,1,3,4,4,5,5,5,4,4,4,2,5,3,3,5,2,3,2,4,1,2
Wood,55141,2,3,2,5,3,3,3,2,2,3,5,4,1,2,3,4,3,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,2,3,2,3,3,5,5,3,3,3,1,3,3,4,2,3,5,4,2,2,3,3,2,3,1,1,3,4,5,4
